<Adverse effect>,"Physiological response that results in harmful or undesirable effects on health, often associated with interventions such as medications or changes in microbiota, particularly in the context of mental health and the microbiota-brain axis."
<Anxiety>,"Mental health condition that is characterized by excessive worry, fear, or apprehension, often linked to neuropsychiatric disorders and influenced by interactions within the microbiota-gut-brain axis."
<Axis>,"Line or plane that serves as a reference point for the orientation and organization of biological structures or processes, particularly in relation to the central nervous system and its interactions with gut microbiota."
<Bacterium>,"Bacterium is a prokaryotic microorganism that typically exists as a unicellular organism, characterized by its ability to inhabit diverse environments, including the human gut microbiota, and influence host physiological processes, including mood and cognitive functions, through interactions with the intestinal epithelium and the vagus nerve."
<Bipolar disorder>,"Mental disorder that is characterized by the presence of mood episodes, including manic, hypomanic, and depressive states, which significantly impact an individual's functioning and may involve alterations in neurobiological processes."
<Brain>,"Nervous organ that integrates sensory information, regulates physiological processes, and influences behavior and mental health, characterized by its connections with gut microbiota and involvement in health disorders."
<Depression>,"Mental disorder characterized by persistent feelings of sadness, loss of interest or pleasure, and various cognitive and physical symptoms that significantly impair daily functioning and overall health."
<Depressive disorder>,"Mental health disorder characterized by persistent feelings of sadness, loss of interest, and cognitive impairments that significantly affect daily functioning and well-being."
<Disease>,"Pathological condition that disrupts normal physiological functions, characterized by specific signs, symptoms, and potential etiological factors, often influenced by microbial interactions within the host's microbiome."
<Diseease>,"Pathological condition that disrupts normal physiological functions, characterized by identifiable mechanisms and interactions, often involving host-microbe relationships."
<Dysbiosis>,"Microbial imbalance that disrupts the composition and function of the gut microbiota, potentially affecting host health and contributing to conditions such as psychiatric disorders."
<Gastrointestinal microbiota>,"Microbiota that inhabit the gastrointestinal tract, comprising diverse microbial communities that influence host physiology, immune response, and potential alterations associated with various health conditions, including mental illnesses."
<Gut microbiome>,"Microbiome that comprises diverse microbial communities residing in the gastrointestinal tract, which interact with host physiology and influence metabolic, immune, and neurological functions."
<Gut microbiota>,"Microbiota that inhabit the gastrointestinal tract and interact with the host's physiology, influencing metabolic processes, immune responses, and the gut-brain axis, thereby impacting mental health and neurological functions."
<Gut-brain axis>,"Neurobiological pathway that links the gastrointestinal system and the central nervous system, characterized by bidirectional communication involving gut microbiota and their metabolites, influencing mood, behavior, and the pathophysiology of psychiatric disorders."
<Gut>,"Digestive organ that encompasses the gastrointestinal tract and is involved in the regulation of microbiota composition, metabolite production, and the gut-brain connection, influencing both physical health and mental health outcomes."
<Health>,"State of physiological and psychological well-being that encompasses the optimal functioning of biological systems, influenced by interactions among genetic, environmental, and microbiota factors."
<Host>,"Organism that serves as a habitat and sustenance source for microbiota, influencing physiological and psychological processes through interactions within the gut-brain axis."
<Human>,"Homo sapiens, which is characterized by bipedal locomotion, advanced cognitive abilities, and a unique gut microbiota that influences health and disease risk."
<Immune response>,"Biological process that involves the activation and regulation of immune cells and molecules in response to pathogens or other foreign substances, influenced by factors such as the microbiome and neuro-immune interactions in the context of neurodegenerative diseases."
<Inflammation>,"Physiological response that involves the activation of immune cells, release of inflammatory mediators, and increased vascular permeability, aimed at eliminating pathogens and initiating tissue repair."
<Intervention>,"Biomedical procedure that aims to modify physiological or psychological conditions through targeted actions or substances, often involving therapeutic agents or techniques to address specific disorders."
<Major depressive disorder>,"Mood disorder that is characterized by persistent feelings of sadness, loss of interest or pleasure, and a range of cognitive and physical symptoms, significantly impairing daily functioning."
<Mental health>,"Mental health is a state of psychological well-being that encompasses emotional, cognitive, and social functioning, characterized by the ability to manage stress, maintain relationships, and adapt to change, while being influenced by biological factors, including gut microbiota interactions and dietary components."
<Microbiome>,"Microbiome is a community of microorganisms that inhabit a specific environment, particularly the human body, and interact with host physiology, influencing health and disease states, including neurological and psychiatric disorders."
<Microbiota>,"Microbiota refers to a community of microorganisms residing in a specific environment, which plays a crucial role in regulating physiological processes, including the gut-brain axis, and influencing health outcomes such as mental health and stress responses."
<Microorganism>,"Microorganism is a genus of unicellular or multicellular organisms that possess metabolic capabilities and are often involved in ecological interactions, influencing human health through mechanisms such as the gut microbiota-brain axis and biodiversity effects."
<Mood>,"Psychological state that is characterized by emotional responses and affects, influencing cognitive processes and behavior, often assessed in the context of mental health disorders such as major depressive disorder and bipolar disorder."
<Neurological disorder>,"Disorder that affects the structure or function of the nervous system, characterized by alterations in neurological processes, which may manifest in cognitive, emotional, or behavioral symptoms, and is often influenced by biological factors such as microbiota interactions."
<Obesity>,"Excessive accumulation of adipose tissue that adversely affects health, often associated with metabolic dysregulation and linked to various comorbidities, including cardiovascular disease and type 2 diabetes."
<Patient>,"Human individual that is the subject of medical care or research, characterized by the presence of health conditions or disorders affecting physiological or psychological well-being."
<Probiotic>,"Microbial formulations that confer health benefits to the host by modulating gut microbiota and influencing physiological processes, including mental health and behavior."
<Psychiatric diseases>,"Mental health disorders that are characterized by alterations in mood, behavior, cognition, or perception, often influenced by biological, psychological, and environmental factors, and associated with significant impairment in social, occupational, or other important areas of functioning."
<Psychiatric disorder>,"Mental health conditions that manifest through significant alterations in mood, behavior, cognition, or perception, often influenced by biological, psychological, and environmental factors."
<Psychiatry>,"Medical specialty that focuses on the diagnosis, treatment, and prevention of mental disorders, integrating biological, psychological, and social factors affecting mental health."
<Psychobiotic>,Probiotics that positively influence mental health by modulating the gut-brain axis through interactions with the microbiota.
<Schizophrenia>,"Mental disorder characterized by a spectrum of symptoms including delusions, hallucinations, and cognitive impairments, which are influenced by neurobiological factors and may involve interactions with the microbiome and gut microbiota."
<Side effect>,"Physiological response that occurs as a consequence of a therapeutic intervention, characterized by unintended and often adverse effects on biological systems, potentially disrupting normal cellular functions and contributing to disease pathology."
<Therapy>,Intervention that aims to modify physiological or psychological processes to improve health outcomes or alleviate symptoms of disease.
<Treatment>,"Intervention that aims to modify physiological or psychological conditions through specific therapeutic methods or substances, often targeting underlying pathophysiological mechanisms associated with disorders."
<abnormality>,"Biological condition that deviates from the typical structure or function of an organism, often associated with disease or dysfunction."
<abundance>,Quantity that reflects the relative presence or concentration of a biological entity within a specified context or environment.
<akkermansia muciniphila>,"Bacterium that belongs to the genus Akkermansia, characterized by its mucin-degrading capabilities and association with gut health in humans."
<amilsupride>,"Antipsychotic medication that selectively antagonizes dopamine D2 receptors, primarily utilized in the treatment of schizophrenia and depressive disorders."
<anti-anxiety>,Pharmacological intervention that alleviates symptoms of anxiety by modulating neurotransmitter activity in the central nervous system.
<antidepressant>,Pharmacological agent that acts primarily to alleviate symptoms of depression by modulating neurotransmitter systems in the brain.
